<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
VEAC,D,20170824,9.8,9.84,9.8,9.84,9200
VEACU,D,20170824,10.21,10.23,10,10.2,500500
VEACW,D,20170824,1.22,1.22,1.22,1.22,0
VECO,D,20170824,19.5,19.65,19,19.15,376400
VEON,D,20170824,4.1,4.11,4.045,4.08,1618800
VERI,D,20170824,13.5,14.8,12.08,14.58,525200
VERU,D,20170824,1.46,1.51,1.44,1.46,188500
VGIT,D,20170824,65.1,65.17,65.07,65.09,55300
VGLT,D,20170824,78.1,78.38,78.02,78.08,19100
VGSH,D,20170824,60.86,60.86,60.83,60.83,117400
VIA,D,20170824,38.15,38.25,37.65,37.75,40900
VIAB,D,20170824,28.54,28.885,28.41,28.65,3446300
VIAV,D,20170824,10.23,10.29,10.14,10.2,1680300
VICL,D,20170824,2.35,2.47,2.35,2.47,33400
VICR,D,20170824,18.1,18.3,17.85,18.3,25400
VIDI,D,20170824,26.9,26.9,26.84,26.89,62000
VIGI,D,20170824,63.24,63.34,63.07,63.16,79500
VIIX,D,20170824,20.06,21.14,19.96,20.72,111400
VIIZ,D,20170824,7.54,7.68,7.54,7.61,14000
VIRC,D,20170824,5,5.1,4.9,4.9,6100
VIRT,D,20170824,17.4,17.75,17.25,17.7,552200
VIVE,D,20170824,5.32,5.55,5.24,5.51,106500
VIVO,D,20170824,13.6,13.75,13.55,13.7,197000
VKTX,D,20170824,1.04,1.07,1.02,1.05,153800
VLGEA,D,20170824,23.66,23.9,23.15,23.22,39100
VLRX,D,20170824,3.68,3.68,3.15,3.37,38600
VMBS,D,20170824,52.87,52.9,52.84,52.88,256100
VNDA,D,20170824,15.9,16.3,15.8,16.15,266300
VNET,D,20170824,4.39,4.6,4.3,4.49,428800
VNOM,D,20170824,16.73,17.01,16.35,16.91,131100
VNQI,D,20170824,58.55,58.59,58.42,58.45,226900
VOD,D,20170824,28.63,28.665,28.53,28.57,2092900
VONE,D,20170824,112.44,112.44,111.92,111.92,12000
VONG,D,20170824,125.24,125.24,124.17,124.53,55800
VONV,D,20170824,101.05,101.05,100.49,100.49,25300
VOXX,D,20170824,7.7,8,7.6,7.75,245700
VRA,D,20170824,9.5,10.08,9.5,9.72,245200
VRAY,D,20170824,5.37,5.64,5.37,5.53,647100
VREX,D,20170824,29.5,29.79,29.32,29.64,176000
VRIG,D,20170824,25.222,25.222,25.21,25.215,111000
VRML,D,20170824,1.25,1.29,1.23,1.27,23300
VRNA,D,20170824,12.51,12.51,12.51,12.51,200
VRNS,D,20170824,38.05,38.6,38,38.3,224400
VRNT,D,20170824,38.15,38.35,37.85,38.3,264300
VRSK,D,20170824,81.3,81.3,79.87,80.26,717200
VRSN,D,20170824,101.12,101.65,100.31,101.5,584400
VRTS,D,20170824,106.45,107.15,105.45,106.1,24200
VRTSP,D,20170824,97.57,98.805,97,97.096,3400
VRTU,D,20170824,35.95,36.06,35.26,35.56,168900
VRTX,D,20170824,153.6,156.63,151.1,156.08,1148600
VSAR,D,20170824,19.9,19.9,18.55,18.95,492200
VSAT,D,20170824,60.8,60.8,59.87,60.05,464200
VSDA,D,20170824,25.6,25.6,25.6,25.6,700
VSEC,D,20170824,49.35,49.35,48.5,48.72,30200
VSMV,D,20170824,25.36,25.38,25.36,25.38,3000
VSTM,D,20170824,3.55,3.595,3.25,3.3,597000
VTGN,D,20170824,1.7,1.84,1.67,1.77,55500
VTHR,D,20170824,112.37,112.37,111.88,111.88,3200
VTIP,D,20170824,49.42,49.43,49.38,49.39,184400
VTL,D,20170824,2.95,2.95,2.8,2.9,55600
VTNR,D,20170824,0.94,0.97,0.92,0.92,75900
VTVT,D,20170824,4.7,4.86,4.51,4.83,10800
VTWG,D,20170824,119.97,120.02,119.47,119.79,10100
VTWO,D,20170824,109.7,109.96,109.27,109.67,47500
VTWV,D,20170824,99.5,99.51,99.14,99.36,5500
VUSE,D,20170824,29.385,29.473,29.27,29.32,36700
VUZI,D,20170824,6.1,6.15,6,6.15,110400
VVPR,D,20170824,3.5,3.57,3.5,3.53,1600
VVUS,D,20170824,0.93,0.94,0.9,0.91,761700
VWOB,D,20170824,80.9,80.99,80.805,80.99,52800
VWR,D,20170824,33,33.03,32.99,33.03,471000
VXUS,D,20170824,53.66,53.68,53.5,53.54,379400
VYGR,D,20170824,8.7,8.85,8.5,8.5,63600
VYMI,D,20170824,64.57,64.57,64.32,64.39,43900
WABC,D,20170824,51,51.07,50.66,51.04,48900
WAFD,D,20170824,31.55,31.6,31.15,31.3,293500
WASH,D,20170824,50.45,50.45,50.05,50.3,13500
WATT,D,20170824,10.1,10.39,9.81,10.17,835900
WAYN,D,20170824,17.36,17.36,17.31,17.31,500
WB,D,20170824,98,99.8,96.51,98.21,2478800
WBA,D,20170824,81.27,81.67,79.25,80.5,8015400
WBB,D,20170824,20.05,20.17,20.05,20.13,2100
WBKC,D,20170824,39.68,39.68,39.49,39.65,9800
WBMD,D,20170824,66.33,66.35,66.31,66.32,957600
WCFB,D,20170824,9.85,9.85,9.85,9.85,0
